n,candidato,votos,porcentagem,votos_totais,votos_validos,votos_nulos,votos_brancos,abstencoes,eleitorado_apurado,date
13,LULA,102013,57.23,185766,178255,3740,3771,222740,100,2022-10-30T20:03:24Z
22,JAIR BOLSONARO,76242,42.77,185766,178255,3740,3771,222740,100,2022-10-30T20:03:24Z
13,LULA,102714,57.07,187566,179994,3781,3791,223113,100,2022-10-30T20:05:15Z
22,JAIR BOLSONARO,77280,42.93,187566,179994,3781,3791,223113,100,2022-10-30T20:05:15Z
13,LULA,105844,56.36,195743,187790,4042,3911,224655,100,2022-10-30T20:06:21Z
22,JAIR BOLSONARO,81946,43.64,195743,187790,4042,3911,224655,100,2022-10-30T20:06:21Z
13,LULA,118259,53.9,228691,219404,4885,4402,232118,100,2022-10-30T20:07:27Z
22,JAIR BOLSONARO,101145,46.1,228691,219404,4885,4402,232118,100,2022-10-30T20:07:27Z
13,LULA,145352,50.37,300810,288557,6752,5501,247351,100,2022-10-30T20:08:34Z
22,JAIR BOLSONARO,143205,49.63,300810,288557,6752,5501,247351,100,2022-10-30T20:08:34Z
22,JAIR BOLSONARO,215888,52.64,427520,410107,10052,7361,274285,100,2022-10-30T20:09:41Z
13,LULA,194219,47.36,427520,410107,10052,7361,274285,100,2022-10-30T20:09:41Z
22,JAIR BOLSONARO,405029,55.58,758908,728743,18087,12078,344119,100,2022-10-30T20:10:51Z
13,LULA,323714,44.42,758908,728743,18087,12078,344119,100,2022-10-30T20:10:51Z
22,JAIR BOLSONARO,479684,55.78,895316,859932,21410,13974,374431,0.8115784260717994,2022-10-30T20:12:37Z
13,LULA,380248,44.22,895316,859932,21410,13974,374431,0.8115784260717994,2022-10-30T20:12:37Z
22,JAIR BOLSONARO,555330,56.11,1030161,989698,24620,15843,404046,0.9166955777183622,2022-10-30T20:13:41Z
13,LULA,434368,43.89,1030161,989698,24620,15843,404046,0.9166955777183622,2022-10-30T20:13:41Z
